product_id,product_name,product_detail,company,sector,weight_kg,carbon_footprint,country,year
34386-1-2016,Nicotine,Nicotine (i) 1 kg of nicotine (ii) requires further processing and transformation by third party.,CONTRAF-NICOTEX-TOBACCO GmbH,Food & Beverage,1.0,16.884,Germany,2016
3448-3-2016,Organic Pigments,"Product carbon footprint for organic pigments, cradle to gate calculation",Clariant AG,Chemicals,1.0,26.0,Switzerland,2016
3448-4-2016,De-icing fluids,De-icing on-site recycling at airport,Clariant AG,Chemicals,1.0,1.85,Switzerland,2016
3448-5-2016,Exolit ammonium polyphosphate,Non-halogenated flame retardants,Clariant AG,Chemicals,1.0,5.0,Switzerland,2016
3448-6-2016,Exolit OP phosphinates,Non-halogenated flame retardants,Clariant AG,Chemicals,1.0,9.0,Switzerland,2016
3448-7-2016,Sunliquid,Advanced biofuels: ethanol from wheat straw,Clariant AG,Chemicals,0.0333333333333333,0.004,Switzerland,2016
35290-1-2013,"Verre Infini, perfumery glass made only with domestic glass from segregation. Middle bottle weighing 100g",[same as product_name],SGD Group,Packaging for consumer goods,0.1,0.124,France,2013
35290-2-2013,Perfumery specific glass. Middle bottle weighing 100g,[same as product_name],SGD Group,Packaging for consumer goods,0.1,0.162,France,2013
35311-10-2016,Interface Brazil Carpet,Square meter of Interface carpet tile sold in Brazil,"Interface, Inc.","Home durables, textiles, & equipment",4.164,9.78,USA,2016
35311-11-2016,Interface Canada Carpet,Square meter of Interface carpet tile sold in Canada,"Interface, Inc.","Home durables, textiles, & equipment",4.164,11.06,USA,2016
35311-12-2016,Interface Global LVT,Square meter of Interface LVT sold globally,"Interface, Inc.","Home durables, textiles, & equipment",4.164,17.1,USA,2016
35311-3-2016,Interface Thailand Carpet,"Square meter of Interface carpet tile sold in SE Asia, Japan, Korea or India","Interface, Inc.","Home durables, textiles, & equipment",4.164,11.3,USA,2016
35311-4-2016,Interface Australia Carpet,Square meter of Interface carpet  tile sold in Australia,"Interface, Inc.","Home durables, textiles, & equipment",4.164,12.84,USA,2016
35311-5-2016,Interface Europe Carpet,"Square meter of Interface carpet tile sold in Europe, Middle East or Africa","Interface, Inc.","Home durables, textiles, & equipment",4.164,10.41,USA,2016
35311-7-2016,Interface Americas Carpet,"Square meter of Interface carpet tile sold in the United States or Latin America, excluding Brazil","Interface, Inc.","Home durables, textiles, & equipment",4.164,11.27,USA,2016
35311-8-2016,Interface China Carpet,Square meter of Interface carpet tile sold in China,"Interface, Inc.","Home durables, textiles, & equipment",4.164,15.42,USA,2016
35374-1-2013,"Ethanol. In addition to its use as fuel (in vehicles), ethanol","Ethanol. In addition to its use as fuel (in vehicles), ethanol is an input to the food, chemical and cosmetic industries.",Raizen,Chemicals,789.0,750.0,Brazil,2013
3565-10-2013,Coke Zero 330 ml glass bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.34,USA,2013
3565-11-2013,Coke Zero 500ml PET,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.22,USA,2013
3565-1-2013,Coca-Cola 300ml can,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.3,0.17,USA,2013
3565-12-2013,Coke Zero- 2 litre plastic bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,2.0,0.4,USA,2013
3565-13-2013,Oasis Summer Fruits  - 375ml glass,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.614,0.35,USA,2013
3565-14-2013,Oasis Summer Fruits - 500ml plastic bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.24,USA,2013
3565-2-2013,Coca-Cola 300ml glass bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.492,0.36,USA,2013
3565-3-2013,Coca-Cola 500ml plastic bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.24,USA,2013
3565-4-2013,Coca-Cola 2 litre plastic bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,2.0,0.5,USA,2013
3565-5-2013,Diet Coke 300ml can,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.3,0.15,USA,2013
3565-6-2013,Diet Coke 330ml glass bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.34,USA,2013
3565-7-2013,Diet Coke 500 ml plastic bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.541,0.22,USA,2013
3565-8-2013,Diet Coke - 2 Litre Plastic Bottle,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,2.0,0.4,USA,2013
3565-9-2013,Coke Zero 300ml can,[no detail provided],"Coca-Cola Enterprises, Inc.",Food & Beverage,0.3,0.15,USA,2013
3652-1-2013,Netbook (SKU: High efficient CPU.10.1-inch LED backlight),[same as product_name],Compal Electronics,"Computer, IT & telecom",2.0,156.95,Taiwan,2013
3652-2-2013,Notebook,[no detail provided],Compal Electronics,"Computer, IT & telecom",2.58,131.82,Taiwan,2013
3768-1-2016,Natural Gas,Please note that this factor is representative of our total emissions and natural gas production profile. It is not strictly based upon products sold to NRG.,CNX Resources,Chemicals,0.00127018044,0.063,USA,2016
37921-1-2016,Plastics,[no detail provided],Trinseo LLC,Chemicals,1000.0,120.0,USA,2016
37921-3-2016,Rubber,[no detail provided],Trinseo LLC,Chemicals,1000.0,1153.0,USA,2016
37921-4-2016,Binders,[no detail provided],Trinseo LLC,Chemicals,1000.0,210.0,USA,2016
37977-1-2016,T300,"Walk-behind, battery-powered, scrubber-drier",Tennant Company,Comm. equipm. & capital goods,181.0,4468.7,USA,2016
38359-10-2016,Pesto alla Genovese sauce,"Pesto sauces, branded Barilla, are produced in an owned plant located in Rubbiano (Italy).The product is sold in package of 190 grams jar,",Barilla Holding SpA,Food & Beverage,0.19,0.546,Italy,2016
38359-7-2016,Light Rye,"Crispbread, branded Wasa, produced in Germany and sold in the United States.",Barilla Holding SpA,Food & Beverage,0.27,0.386,Italy,2016
38359-8-2016,Multi Grain,"Crispbread, branded Wasa, produced in Germany and sold in the United States",Barilla Holding SpA,Food & Beverage,0.275,0.34,Italy,2016
38359-9-2016,Durum wheat semolina pasta in paperboard box (produced in United States),Dry semolina pasta is made from durum wheat and water and is produced by extrusion or lamination and then a drying process.The pasta production process does not require additives and preservatives:it is the drying process that guarantees the conservation.,Barilla Holding SpA,Food & Beverage,1.0,1.33,Italy,2016
38459-1-2013,5 oz can whitemeat tuna,[no detail provided],Bumble Bee Foods LLC,Food & Beverage,0.179,0.68,USA,2013
38459-2-2013,5 oz can lightmeat tuna,[no detail provided],Bumble Bee Foods LLC,Food & Beverage,0.179,0.39,USA,2013
39118-1-2014,Average SKU,Average SKU sold to Walmart in 2013,Stonyfield Farm Inc,Food & Beverage,1000.0,1360.0,USA,2014
